SRC,Name,S1,S2,S3,TYPE,DST
0,root.features.0.conv.0,"[115.19999694824219, 115.19999694824219, 115.19999694824219, 115.19999694824219, 115.19999694824219, 115.19999694824219, 115.19999694824219, 115.19999694824219, 115.19999694824219, 115.19999694824219, 115.19999694824219, 115.19999694824219, 115.19999694824219, 115.19999694824219, 115.19999694824219, 115.19999694824219, 115.19999694824219, 115.19999694824219, 115.19999694824219, 115.19999694824219, 115.19999694824219, 115.19999694824219, 115.19999694824219, 115.19999694824219, 115.19999694824219, 115.19999694824219, 115.19999694824219, 115.19999694824219, 115.19999694824219, 115.19999694824219, 115.19999694824219, 115.19999694824219]","[29.786457061767578, 29.786457061767578, 29.786457061767578, 29.786457061767578, 29.786457061767578, 29.786457061767578, 29.786457061767578, 29.786457061767578, 29.786457061767578, 29.786457061767578, 29.786457061767578, 29.786457061767578, 29.786457061767578, 29.786457061767578, 29.786457061767578, 29.786457061767578, 29.786457061767578, 29.786457061767578, 29.786457061767578, 29.786457061767578, 29.786457061767578, 29.786457061767578, 29.786457061767578, 29.786457061767578, 29.786457061767578, 29.786457061767578, 29.786457061767578, 29.786457061767578, 29.786457061767578, 29.786457061767578, 29.786457061767578, 29.786457061767578]","[21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445]",CONV,1
1,root.features.1.conv.0.0,"[21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523]","[86.43396759033203, 72.46861267089844, 115.19684600830078, 15.749403953552246, 74.4716796875, 63.061851501464844, 115.19684600830078, 69.40280151367188, 38.74574661254883, 2.946162223815918, 10.005301475524902, 106.59797668457031, 115.19684600830078, 30.702661514282227, 115.19684600830078, 40.00858688354492, 115.19684600830078, 115.19684600830078, 115.19684600830078, 34.401885986328125, 3.6750407218933105, 115.19684600830078, 2.753312587738037, 34.839317321777344, 5.210431098937988, 77.67367553710938, 115.19684600830078, 6.101433277130127, 115.19684600830078, 115.19684600830078, 6.850563049316406, 38.86066818237305]","[20.461111, 20.461111, 20.461111, 20.461111, 20.461111, 20.461111, 20.461111, 20.461111, 20.461111, 20.461111, 20.461111, 20.461111, 20.461111, 20.461111, 20.461111, 20.461111, 20.461111, 20.461111, 20.461111, 20.461111, 20.461111, 20.461111, 20.461111, 20.461111, 20.461111, 20.461111, 20.461111, 20.461111, 20.461111, 20.461111, 20.461111, 20.461111]",CONV,2
2,root.features.1.conv.1.0,"[20.461111068725586, 20.461111068725586, 20.461111068725586, 20.461111068725586, 20.461111068725586, 20.461111068725586, 20.461111068725586, 20.461111068725586, 20.461111068725586, 20.461111068725586, 20.461111068725586, 20.461111068725586, 20.461111068725586, 20.461111068725586, 20.461111068725586, 20.461111068725586, 20.461111068725586, 20.461111068725586, 20.461111068725586, 20.461111068725586, 20.461111068725586, 20.461111068725586, 20.461111068725586, 20.461111068725586, 20.461111068725586, 20.461111068725586, 20.461111068725586, 20.461111068725586, 20.461111068725586, 20.461111068725586, 20.461111068725586, 20.461111068725586, 20.461111068725586, 20.461111068725586, 20.461111068725586, 20.461111068725586, 20.461111068725586, 20.461111068725586, 20.461111068725586, 20.461111068725586, 20.461111068725586, 20.461111068725586, 20.461111068725586, 20.461111068725586, 20.461111068725586, 20.461111068725586, 20.461111068725586, 20.461111068725586, 20.461111068725586, 20.461111068725586, 20.461111068725586, 20.461111068725586, 20.461111068725586, 20.461111068725586, 20.461111068725586, 20.461111068725586, 20.461111068725586, 20.461111068725586, 20.461111068725586, 20.461111068725586, 20.461111068725586, 20.461111068725586, 20.461111068725586, 20.461111068725586]","[113.10234832763672, 104.42391967773438, 110.85688018798828, 113.10234832763672, 105.29552459716797, 44.22519302368164, 113.10234832763672, 84.88328552246094, 113.10234832763672, 75.83721923828125, 113.10234832763672, 113.10234832763672, 113.10234832763672, 27.19712257385254, 113.10234832763672, 113.10234832763672, 113.10234832763672, 45.14025115966797, 53.231346130371094, 39.917266845703125, 43.25238037109375, 113.10234832763672, 100.7085189819336, 51.61639404296875, 113.10234832763672, 70.47252655029297, 34.53339767456055, 113.10234832763672, 76.52655792236328, 28.244773864746094, 113.10234832763672, 71.6281967163086, 112.79611206054688, 31.677091598510742, 113.10234832763672, 113.10234832763672, 113.10234832763672, 113.10234832763672, 92.26324462890625, 106.73812103271484, 94.38418579101562, 113.10234832763672, 108.78166198730469, 113.10234832763672, 113.10234832763672, 113.10234832763672, 58.188575744628906, 113.10234832763672, 46.562103271484375, 113.10234832763672, 72.91754150390625, 113.10234832763672, 63.71596908569336, 113.10234832763672, 113.10234832763672, 113.10234832763672, 113.10234832763672, 113.10234832763672, 113.10234832763672, 63.43083572387695, 113.10234832763672, 113.10234832763672, 37.920650482177734, 78.60568237304688]","[21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668]",CONV,3
3,root.features.2.conv.0.0,"[21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422]","[79.71623229980469, 111.00786590576172, 111.00786590576172, 63.055519104003906, 111.00786590576172, 111.00786590576172, 68.58000946044922, 111.00786590576172, 111.00786590576172, 111.00786590576172, 111.00786590576172, 89.96469116210938, 111.00786590576172, 111.00786590576172, 111.00786590576172, 111.00786590576172, 111.00786590576172, 111.00786590576172, 111.00786590576172, 104.73779296875, 111.00786590576172, 73.76129913330078, 111.00786590576172, 111.00786590576172, 33.55167770385742, 94.97703552246094, 111.00786590576172, 23.801816940307617, 111.00786590576172, 111.00786590576172, 111.00786590576172, 111.00786590576172, 111.00786590576172, 111.00786590576172, 7.014730453491211, 111.00786590576172, 111.00786590576172, 5.76701021194458, 111.00786590576172, 111.00786590576172, 111.00786590576172, 33.953250885009766, 111.00786590576172, 26.97147560119629, 2.2289609909057617, 111.00786590576172, 111.00786590576172, 24.725584030151367, 111.00786590576172, 111.00786590576172, 111.00786590576172, 49.87959289550781, 111.00786590576172, 2.163132429122925, 111.00786590576172, 111.00786590576172, 111.00786590576172, 28.720218658447266, 111.00786590576172, 111.00786590576172, 3.559159517288208, 111.00786590576172, 111.00786590576172, 111.00786590576172]","[21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668]",CONV,4
4,root.features.2.conv.1.0,"[21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422, 21.166667938232422]","[125.66928100585938, 125.66928100585938, 125.66928100585938, 107.66034698486328, 80.79084777832031, 50.02890396118164, 125.66928100585938, 125.66928100585938, 100.76242065429688, 125.66928100585938, 125.66928100585938, 121.20675659179688, 125.66928100585938, 125.66928100585938, 125.66928100585938, 125.66928100585938, 93.64252471923828, 125.66928100585938, 125.66928100585938, 125.66928100585938, 125.66928100585938, 125.66928100585938, 125.66928100585938, 125.66928100585938, 125.66928100585938, 125.66928100585938, 125.66928100585938, 114.93905639648438, 125.66928100585938, 125.66928100585938, 125.66928100585938, 125.66928100585938, 125.66928100585938, 125.66928100585938, 125.66928100585938, 125.66928100585938, 125.66928100585938, 125.66928100585938, 82.42939758300781, 125.66928100585938, 125.66928100585938, 125.66928100585938, 125.66928100585938, 125.66928100585938, 125.66928100585938, 125.66928100585938, 125.66928100585938, 125.66928100585938, 125.66928100585938, 125.66928100585938, 125.66928100585938, 125.66928100585938, 125.66928100585938, 89.57162475585938, 125.66928100585938, 125.66928100585938, 125.66928100585938, 125.66928100585938, 125.66928100585938, 125.66928100585938, 125.66928100585938, 125.66928100585938, 125.66928100585938, 125.66928100585938, 125.66928100585938, 125.66928100585938, 125.66928100585938, 88.46653747558594, 125.66928100585938, 125.66928100585938, 125.66928100585938, 125.66928100585938, 125.66928100585938, 125.66928100585938, 125.66928100585938, 125.66928100585938, 125.66928100585938, 125.66928100585938, 125.66928100585938, 125.66928100585938, 125.66928100585938, 125.66928100585938, 125.66928100585938, 125.66928100585938, 125.66928100585938, 110.55088806152344, 111.05500030517578, 125.66928100585938, 125.66928100585938, 72.65350341796875, 125.66928100585938, 125.66928100585938, 125.66928100585938, 125.66928100585938, 86.80516815185547, 125.66928100585938, 125.66928100585938, 100.2392349243164, 113.0823974609375, 89.32633209228516, 125.66928100585938, 121.49968719482422, 125.66928100585938, 112.528564453125, 125.66928100585938, 125.66928100585938, 125.66928100585938, 125.66928100585938, 125.66928100585938, 125.66928100585938, 115.42221069335938, 125.66928100585938, 125.66928100585938, 125.66928100585938, 125.66928100585938, 125.66928100585938, 125.66928100585938, 124.22148895263672, 125.66928100585938, 125.66928100585938, 125.66928100585938, 125.66928100585938, 125.66928100585938, 125.66928100585938, 125.66928100585938, 122.66590881347656, 125.66928100585938, 125.66928100585938]","[21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445, 21.519445]",CONV,5
5,root.features.3.conv.0.0,"[21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523, 21.519445419311523]","[70.93388366699219, 117.29132843017578, 68.0965576171875, 84.19815826416016, 117.29132843017578, 117.29132843017578, 117.29132843017578, 117.29132843017578, 117.29132843017578, 85.61257934570312, 33.84820556640625, 117.29132843017578, 65.47499084472656, 86.77780151367188, 89.7430419921875, 98.5235595703125, 103.27454376220703, 42.84560775756836, 117.29132843017578, 52.970272064208984, 117.29132843017578, 115.95207977294922, 117.29132843017578, 98.24757385253906, 117.29132843017578, 84.43998718261719, 114.20995330810547, 38.929603576660156, 76.18807983398438, 104.46321868896484, 117.29132843017578, 52.64949035644531, 70.82704162597656, 117.29132843017578, 117.29132843017578, 117.29132843017578, 57.32888412475586, 117.29132843017578, 38.743186950683594, 53.3540153503418, 56.766475677490234, 117.29132843017578, 117.29132843017578, 117.29132843017578, 95.07201385498047, 57.73805618286133, 67.8321762084961, 60.512550354003906, 117.29132843017578, 90.23707580566406, 117.29132843017578, 117.29132843017578, 10.991060256958008, 117.29132843017578, 95.15449523925781, 71.88147735595703, 94.89159393310547, 37.469322204589844, 59.25489807128906, 117.29132843017578, 113.841064453125, 52.88669204711914, 112.32221984863281, 117.29132843017578, 117.29132843017578, 84.56419372558594, 16.17586898803711, 117.29132843017578, 117.29132843017578, 101.7735824584961, 100.83396911621094, 108.80767059326172, 105.0842056274414, 117.29132843017578, 85.18299865722656, 107.64105987548828, 75.2154541015625, 49.326473236083984, 110.00643157958984, 117.29132843017578, 75.63933563232422, 65.10926818847656, 62.43077850341797, 117.29132843017578, 117.29132843017578, 78.60896301269531, 105.42333221435547, 117.29132843017578, 83.33226013183594, 51.686187744140625, 76.68048095703125, 58.659175872802734, 73.41563415527344, 66.1993408203125, 82.19856262207031, 117.29132843017578, 30.912019729614258, 117.29132843017578, 94.45370483398438, 117.29132843017578, 91.7297134399414, 114.34441375732422, 38.431617736816406, 117.29132843017578, 80.02486419677734, 98.90937805175781, 99.19229125976562, 117.29132843017578, 56.642547607421875, 117.29132843017578, 117.29132843017578, 117.29132843017578, 117.29132843017578, 117.29132843017578, 97.21611785888672, 83.94612121582031, 117.0608139038086, 117.29132843017578, 95.1855239868164, 84.95378112792969, 117.29132843017578, 72.74729919433594, 117.29132843017578, 117.29132843017578, 117.29132843017578, 117.29132843017578, 46.1470947265625, 38.807647705078125]","[21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668, 21.166668]",CONV,6
